iter	Logloss
0	0.594434183
1	0.5271639826
2	0.4787431549
3	0.4399709878
4	0.4112071118
5	0.3886173601
6	0.3731260277
7	0.3611977632
8	0.3523647841
9	0.3440694494
10	0.3399213057
11	0.3351306427
12	0.3298500135
13	0.3265830196
14	0.3237434274
15	0.3201791106
16	0.3177606575
17	0.3160593261
18	0.3139392855
19	0.3127218513
20	0.3116131875
21	0.3095253259
22	0.307850974
23	0.3070685798
24	0.3060287368
25	0.305237168
26	0.3042010125
27	0.3034531951
28	0.3027869162
29	0.3019493726
30	0.3005563536
31	0.2998824738
32	0.2990379391
33	0.2983327575
34	0.297841224
35	0.2971740968
36	0.2966043563
37	0.2957106351
38	0.2952439673
39	0.2946440109
40	0.2942630571
41	0.2939572791
42	0.2935521947
43	0.2930832222
44	0.2925684712
45	0.2920215868
46	0.2915455785
47	0.2904698133
48	0.2897725388
49	0.2894108299
50	0.2891620444
51	0.2886534664
52	0.2882954444
53	0.2879396444
54	0.2875740657
55	0.2869347452
56	0.2866267558
57	0.2863690967
58	0.2860921483
59	0.285769375
60	0.2854539031
61	0.2850468717
62	0.2848159394
63	0.2846469077
64	0.2843536541
65	0.2841413376
66	0.2836814625
67	0.2835430744
68	0.2831918026
69	0.2830206251
70	0.2828641579
71	0.2826149578
72	0.2824587435
73	0.2821265041
74	0.2819563534
75	0.2817533604
76	0.2815160666
77	0.2813386791
78	0.2811639503
79	0.280888258
80	0.2806610541
81	0.2803167901
82	0.2802356058
83	0.2801204862
84	0.2799205704
85	0.2796362075
86	0.2794336806
87	0.2791765587
88	0.278949163
89	0.2786809239
90	0.2785494556
91	0.2783270929
92	0.2781267538
93	0.2779814238
94	0.2778164937
95	0.2776591462
96	0.2773497946
97	0.2771211264
98	0.2769001625
99	0.276762355
