iter	Passed	Remaining
0	42	4174
1	84	4158
2	125	4064
3	158	3801
4	192	3654
5	232	3649
6	269	3580
7	305	3511
8	345	3497
9	382	3446
10	421	3410
11	460	3374
12	500	3347
13	538	3310
14	578	3280
15	618	3247
16	652	3186
17	688	3137
18	727	3103
19	766	3064
20	805	3030
21	842	2985
22	878	2942
23	918	2909
24	961	2884
25	1005	2862
26	1045	2827
27	1086	2792
28	1130	2767
29	1171	2733
30	1213	2701
31	1247	2650
32	1280	2599
33	1312	2547
34	1345	2499
35	1377	2449
36	1411	2403
37	1445	2359
38	1475	2307
39	1505	2258
40	1535	2209
41	1568	2165
42	1598	2119
43	1630	2074
44	1672	2044
45	1726	2026
46	1797	2026
47	1852	2006
48	1914	1992
49	1960	1960
50	2013	1934
51	2068	1909
52	2141	1898
53	2230	1900
54	2293	1876
55	2349	1846
56	2388	1801
57	2460	1781
58	2509	1743
59	2548	1698
60	2580	1649
61	2614	1602
62	2652	1557
63	2700	1518
64	2738	1474
65	2779	1431
66	2815	1386
67	2851	1341
68	2892	1299
69	2933	1257
70	2982	1218
71	3023	1175
72	3059	1131
73	3099	1088
74	3131	1043
75	3163	998
76	3220	961
77	3255	918
78	3290	874
79	3326	831
80	3361	788
81	3398	745
82	3454	707
83	3525	671
84	3578	631
85	3612	588
86	3658	546
87	3694	503
88	3749	463
89	3787	420
90	3827	378
91	3867	336
92	3904	293
93	3940	251
94	3987	209
95	4024	167
96	4060	125
97	4100	83
98	4139	41
99	4174	0
